Mes,Meta_Comercial_Min,Meta_Comercial_Ideal,Meta_Comercial_Excelente,Meta_Margem_Min,Meta_Margem_Ideal,Meta_Margem_Excelente,Valor_Pago_Min_ADM,Valor_Pago_Ideal_ADM,Valor_Pago_Excelente_ADM,Valor_Pago_Min_Comercial,Valor_Pago_Ideal_Comercial,Valor_Pago_Excelente_Comercial,Mes_formatado,Qtd_Funcionarios_ADM,Qtd_Funcionarios_Comercial
2025-05-01,4000000.0,4250000.0,4500000.0,23.0,24.0,25.0,250.0,500.0,750.0,1000.0,2000.0,3000.0,,2,4
2023-01-01,4000000.0,4250000.0,4500000.0,24.0,25.0,26.0,100.0,300.0,500.0,200.0,600.0,1000.0,,2,4
